id,word,meaning,category,language
833,passenger,hành khách,noun,noun
834,press,nhấn,verb,verb
835,rule,qui định,noun,noun
836,sign,ký tên,verb,verb
837,support,ủng hộ,verb,verb
838,those,những,noun,noun
839,wonderful,Tuyệt vời,adjective,adjective
840,year,năm,noun,noun
841,afraid,sợ,adjective,adjective
842,board,bảng,noun,noun
843,circle,vòng tròn,noun,noun
844,count,đếm,verb,verb
845,death,tử vong,noun,noun
846,discover,khám phá,verb,verb
847,funny,buồn cười,adjective,adjective
848,guest,khách mời,noun,noun
849,horse,con ngựa,noun,noun
850,lake,hồ nước,noun,noun
851,modern,hiện đại,adjective,adjective
852,necessary,cần thiết,adjective,adjective
853,plenty,nhiều,noun,noun
854,profit,lợi nhuận,noun,noun
855,reduce,giảm,noun,noun
856,share,chia sẻ,verb,verb
857,steal,lấy trộm,verb,verb
858,trust,Lòng tin,verb,verb
859,wish,muốn,verb,verb
860,young,trẻ,adjective,adjective
861,admire,ngưỡng mộ,verb,verb
862,allow,cho phép,verb,verb
863,battle,trận chiến,noun,noun
864,climb,leo,verb,verb
865,complete,hoàn thành,verb,verb
866,divide,chia,verb,verb
867,effort,cố gắng,noun,noun
868,fresh,tươi,noun,noun
869,hole,hố,noun,noun
870,indeed,thật,verb,verb
871,marriage,kết hôn,noun,noun
872,outside,ở ngoài,adverb,adverb
873,pleasant,hài lòng,adjective,adjective
874,point,điểm,noun,noun
875,recent,gần đây,adjective,adjective
876,secretary,Thư ký,noun,noun
877,sing,hát,verb,verb
878,soft,mềm mại,noun,noun
879,third,ngày thứ ba,noun,noun
880,various,đa dạng,adjective,adjective
881,adventure,cuộc phiêu lưu,noun,noun
882,although,Mặc du,conjunction,conjunction
883,bottom,đáy,noun,noun
884,coin,đồng tiền,noun,noun
885,comfort,sự thoải mái,noun,noun
886,drop,rơi vãi,noun,noun
887,equal,công bằng,adjective,adjective
888,gun,súng,noun,noun
889,intelligent,thông minh,adjective,adjective
890,join,tham gia,noun,noun
891,laugh,cười,noun,noun
892,middle,ở giữa,noun,noun
893,perform,biểu diễn,noun,noun
894,plain,trơn,adjective,adjective
895,row,hàng,noun,noun
896,soldier,lính,noun,noun
897,surface,bề mặt,noun,noun
898,thick,dày,adjective,adjective
899,until,cho đến khi,conjunction,conjunction
900,wild,hoang dã,adjective,adjective
901,attempt,cố gắng,verb,verb
902,bill,hóa đơn,noun,noun
903,breathe,thở,verb,verb
904,cook,nấu ăn,verb,verb
905,defend,phòng thủ,verb,verb
906,fat,mập,adjective,adjective
907,grey,màu xám,adjective,adjective
908,hot,nóng bức,adjective,adjective
909,character,tính cách,noun,noun
910,import,nhập khẩu,verb,verb
911,lose,thua,verb,verb
912,mountain,núi,noun,noun
913,operation,hoạt động,noun,noun
914,prize,giải thưởng,noun,noun
915,risk,rủi ro,noun,noun
916,safe,an toàn,adjective,adjective
917,suddenly,đột ngột,adverb,adverb
918,suit,bộ đồ,noun,noun
919,type,kiểu,noun,noun
920,wood,gỗ,noun,noun
921,area,khu vực,noun,noun
922,asleep,ngủ,adjective,adjective
923,bath,bồn tắm,noun,noun
924,careless,cẩu thả,adjective,adjective
925,delay,sự chậm trễ,noun,noun
926,event,biến cố,noun,noun
927,foot,chân,noun,noun
928,hide,ẩn giấu,verb,verb
929,chain,chuỗi,noun,noun
930,international,Quốc tế,adjective,adjective
931,match,trận đấu,noun,noun
932,nervous,lo lắng,adjective,adjective
933,pity,điều đáng tiếc,noun,noun
934,prove,chứng minh,noun,noun
935,raise,nâng cao,noun,noun
936,shut,đóng cửa,noun,noun
937,smell,mùi,noun,noun
938,straight,thẳng,adjective,adjective
939,trade,buôn bán,noun,noun
940,variety,đa dạng,noun,noun
941,admit,thừa nhận,verb,verb
942,attend,tham gia,verb,verb
943,branch,chi nhánh,noun,noun
944,coal,than đá,noun,noun
945,consist,bao gồm,noun,noun
946,declare,khai báo,verb,verb
947,exact,chính xác,adjective,adjective
948,farmer,nông phu,noun,noun
949,instead,thay thế,noun,noun
950,jacket,Áo khoác,noun,noun
951,leg,Chân,noun,noun
952,metal,kim loại,noun,noun
953,opposite,đối diện,adjective,adjective
954,pound,pao,noun,noun
955,roll,cuộn,noun,noun
956,score,ghi bàn,noun,noun
957,shoot,bắn,verb,verb
958,speech,phát biểu,noun,noun
959,toilet,phòng vệ sinh,noun,noun
960,whose,ai,pronoun,pronoun
961,attitude,Thái độ,noun,noun
962,brave,can đảm,adjective,adjective
963,contain,Lưu trữ,verb,verb
964,doubt,nghi ngờ,noun,noun
965,experience,kinh nghiệm,noun,noun
966,flat,bằng phẳng,adjective,adjective
967,guard,bảo vệ,verb,verb
968,heavy,nặng,adjective,adjective
969,charge,sạc điện,noun,noun
970,iron,bàn là,noun,noun
971,medicine,thuốc,noun,noun
972,noise,tiếng ồn,noun,noun
973,politics,chính trị,noun,noun
974,pour,đổ,verb,verb
975,rush,gấp rút,verb,verb
976,smooth,trơn tru,adjective,adjective
977,spread,lây lan,verb,verb
978,suggest,đề xuất,verb,verb
979,trouble,rắc rối,noun,noun
980,west,hướng Tây,adjective,adjective
981,average,Trung bình cộng,noun,noun
982,belong,thuộc về,verb,verb
983,certainly,chắc chắn,adverb,adverb
984,crime,tội ác,noun,noun
985,duty,nhiệm vụ,noun,noun
986,either,hoặc,pronoun,pronoun
987,fail,Thất bại,verb,verb
988,health,Sức khỏe,noun,noun
989,influence,ảnh hưởng,noun,noun
990,leader,lãnh đạo,noun,noun
991,measure,đo lường,verb,verb
992,offer,phục vụ,verb,verb
993,pile,Đóng cọc,noun,noun
994,regard,sự quan tâm,verb,verb
995,rough,thô,adjective,adjective
996,series,loạt,noun,noun
997,spoil,làm hư hỏng,verb,verb
998,spot,nơi,noun,noun
999,thin,gầy,adjective,adjective
1000,vote,bỏ phiếu,verb,verb
